,neuron_1,neuron_2,value,neuron_combination,p,p_adj,session_name,block,n1_cluster,n2_cluster,comb,group
0,1069,1070,0.37160466695639494,1069_1070,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
1,1069,1071,0.0046497927159207765,1069_1071,1.812,1.8321333333333334,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
2,1070,1071,-0.024585927217490706,1070_1071,1.108,1.2296097560975612,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
3,1069,1072,-0.19103242657630068,1069_1072,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
4,1070,1072,-0.18654504898353985,1070_1072,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
5,1071,1072,0.008001670248455418,1071_1072,1.698,1.7558863636363637,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
6,1069,1074,0.351913849713042,1069_1074,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
7,1070,1074,0.49639436564951783,1070_1074,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
8,1071,1074,-0.07409945250424474,1071_1074,0.142,0.20841935483870966,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
9,1072,1074,-0.043594193350702276,1072_1074,0.618,0.7210000000000001,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
10,1069,1075,0.2365176091207983,1069_1075,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
11,1070,1075,0.33232097635754804,1070_1075,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
12,1071,1075,-0.1708134186072913,1071_1075,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
13,1072,1075,-0.20584718402289362,1072_1075,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
14,1074,1075,0.23278615735605593,1074_1075,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
15,1069,1076,0.0666091145154916,1069_1076,0.214,0.2996,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
16,1070,1076,0.05011254772498603,1070_1076,0.46,0.5813888888888888,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
17,1071,1076,0.038196586254491155,1071_1076,0.702,0.7985249999999999,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
18,1072,1076,-0.09534058566591473,1072_1076,0.038,0.05962068965517241,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
19,1074,1076,-0.005887541005149236,1074_1076,1.8,1.8321333333333334,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
20,1075,1076,0.050237152777650916,1075_1076,0.444,0.5772,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
21,1069,1078,0.10407695122368447,1069_1078,0.01,0.016545454545454547,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
22,1070,1078,0.17940122758508018,1070_1078,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
23,1071,1078,-0.06507166352288687,1071_1078,0.226,0.31160606060606066,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
24,1072,1078,-0.08918551199498544,1072_1078,0.046,0.07094915254237288,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
25,1074,1078,0.12304228152493406,1074_1078,0.002,0.0037142857142857147,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
26,1075,1078,0.31377627626395954,1075_1078,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
27,1076,1078,-0.008541118055259443,1076_1078,1.662,1.738413793103448,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
28,1069,1079,0.019199889386207102,1069_1079,1.298,1.4061666666666666,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
29,1070,1079,0.20884696712570924,1070_1079,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
30,1071,1079,-0.15114840764938284,1071_1079,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
31,1072,1079,-0.05348061865609937,1072_1079,0.41,0.5407246376811594,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
