,neuron_1,neuron_2,value,neuron_combination,p,p_adj,session_name,block,n1_cluster,n2_cluster,comb,group
0,1069,1070,-0.08546595647484843,1069_1070,0.12,0.2625,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
1,1069,1071,-0.016502592095647806,1069_1071,1.454,1.6963333333333335,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
2,1070,1071,0.0030582152199772742,1070_1071,1.9,1.9182692307692306,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
3,1069,1072,-0.02924658988876405,1069_1072,1.064,1.438101265822785,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
4,1070,1072,0.18061844197422158,1070_1072,0.0,0.0,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
5,1071,1072,-0.006567606124618219,1071_1072,1.802,1.8921000000000001,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
6,1069,1074,0.11037859079418047,1069_1074,0.03,0.09,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
7,1070,1074,0.1574919820620613,1070_1074,0.0,0.0,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
8,1071,1074,-0.015261824269325626,1071_1074,1.524,1.7206451612903229,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
9,1072,1074,0.0545142799858509,1072_1074,0.52,0.8400000000000001,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
10,1069,1075,0.05472087644571695,1069_1075,0.442,0.7366666666666667,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
11,1070,1075,0.20306397993467185,1070_1075,0.0,0.0,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
12,1071,1075,0.22145497030378558,1071_1075,0.0,0.0,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
13,1072,1075,-0.01999359617061851,1072_1075,1.326,1.618953488372093,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
14,1074,1075,0.18702701029183214,1074_1075,0.0,0.0,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
15,1069,1076,-0.018464177158084422,1069_1076,1.412,1.6658426966292135,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
16,1070,1076,0.014581038942556487,1070_1076,1.524,1.7206451612903229,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
17,1071,1076,0.15724039562378184,1071_1076,0.002,0.00875,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
18,1072,1076,-0.1347545259044657,1072_1076,0.01,0.03888888888888889,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
19,1074,1076,-0.18669084631994623,1074_1076,0.0,0.0,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
20,1075,1076,0.024543591349424784,1075_1076,1.218,1.535,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
21,1069,1078,0.023087173578388485,1069_1078,1.306,1.613294117647059,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
22,1070,1078,0.10935892232821029,1070_1078,0.028,0.08647058823529412,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
23,1071,1078,0.023886481553121255,1071_1078,1.228,1.535,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
24,1072,1078,0.11140914604666895,1072_1078,0.042,0.11918918918918919,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
25,1074,1078,-0.061385357585671894,1074_1078,0.39,0.671311475409836,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
26,1075,1078,0.040089247583663924,1075_1078,0.806,1.1919718309859155,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
27,1076,1078,0.07027983828160653,1076_1078,0.266,0.49,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
28,1069,1079,0.047012533491826734,1069_1079,0.636,0.9820588235294119,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
29,1070,1079,-0.06834398628674301,1070_1079,0.264,0.49,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
30,1071,1079,0.006320198040953821,1071_1079,1.786,1.8921000000000001,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
31,1072,1079,-0.08211932916697796,1072_1079,0.158,0.32941176470588235,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
32,1074,1079,-0.02758893938344988,1074_1079,1.142,1.4803703703703703,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
33,1075,1079,-0.0046916410000598634,1075_1079,1.854,1.9001941747572817,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
34,1076,1079,-0.008417021740852182,1076_1079,1.72,1.8834374999999999,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
35,1078,1079,0.005585501347276315,1078_1079,1.79,1.8921000000000001,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
36,1069,1081,-0.018911393360148045,1069_1081,1.388,1.6561363636363635,hamilton_01,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
37,1070,1081,-0.02857879540737067,1070_1081,1.082,1.438101265822785,hamilton_01,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
38,1071,1081,-0.02538485938900191,1071_1081,1.192,1.5263414634146342,hamilton_01,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
39,1072,1081,-0.1723532923125664,1072_1081,0.0,0.0,hamilton_01,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
40,1074,1081,0.10969868224403259,1074_1081,0.026,0.0853125,hamilton_01,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
41,1075,1081,0.033967303088194165,1075_1081,0.934,1.3327999999999998,hamilton_01,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
42,1076,1081,-0.004852777242387028,1076_1081,1.824,1.8962376237623764,hamilton_01,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
43,1078,1081,-0.0693759621488093,1078_1081,0.25,0.48490909090909096,hamilton_01,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
44,1079,1081,0.04672974767521762,1079_1081,0.686,1.043913043478261,hamilton_01,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
45,1069,1082,0.010837838471536037,1069_1082,1.61,1.7984042553191488,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
46,1070,1082,0.08461061875997351,1070_1082,0.16,0.32941176470588235,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
47,1071,1082,-0.049307518103166983,1071_1082,0.558,0.8744776119402986,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
48,1072,1082,0.06974917331038814,1072_1082,0.288,0.5213793103448275,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
49,1074,1082,-0.3045346772934541,1074_1082,0.0,0.0,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
50,1075,1082,-0.11560243893343505,1075_1082,0.026,0.0853125,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
51,1076,1082,0.21248186614038622,1076_1082,0.0,0.0,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
52,1078,1082,0.14952860959195688,1078_1082,0.004,0.016153846153846154,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
53,1079,1082,-0.08725100873779415,1079_1082,0.098,0.22866666666666668,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
54,1081,1082,-0.151150408655172,1081_1082,0.0,0.0,hamilton_01,base_shock,slow_regular,slow_irregular,slow_irregular-slow_regular,sal
55,1069,1084,-0.028119695555401853,1069_1084,1.116,1.4647500000000002,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
56,1070,1084,-0.21162174680386805,1070_1084,0.0,0.0,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
57,1071,1084,-0.05098673081798198,1071_1084,0.554,0.8744776119402986,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
58,1072,1084,-0.12038859556372128,1072_1084,0.014,0.0525,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
59,1074,1084,0.10605989595710955,1074_1084,0.082,0.2002325581395349,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
60,1075,1084,-0.10556422684125218,1075_1084,0.066,0.16902439024390245,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
61,1076,1084,-0.019078752213273566,1076_1084,1.376,1.6561363636363635,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
62,1078,1084,-0.03409441202927021,1078_1084,0.952,1.3327999999999998,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
63,1079,1084,0.10636010079569341,1079_1084,0.048,0.12923076923076923,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
64,1081,1084,0.12606229993024218,1081_1084,0.022,0.077,hamilton_01,base_shock,slow_regular,slow_irregular,slow_irregular-slow_regular,sal
65,1082,1084,-0.07005810928029207,1082_1084,0.254,0.48490909090909096,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
66,1069,1085,0.03756399448251887,1069_1085,0.826,1.2045833333333331,hamilton_01,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
67,1070,1085,0.2873773916134746,1070_1085,0.0,0.0,hamilton_01,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
68,1071,1085,0.2004224170042688,1071_1085,0.0,0.0,hamilton_01,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
69,1072,1085,0.2625332995593546,1072_1085,0.0,0.0,hamilton_01,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
70,1074,1085,0.114068196463306,1074_1085,0.022,0.077,hamilton_01,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
71,1075,1085,0.2060573154366325,1075_1085,0.0,0.0,hamilton_01,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
72,1076,1085,-0.008172617545481431,1076_1085,1.722,1.8834374999999999,hamilton_01,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
73,1078,1085,0.2124153485293851,1078_1085,0.0,0.0,hamilton_01,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
74,1079,1085,-0.05741873371115619,1079_1085,0.472,0.7743749999999999,hamilton_01,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
75,1081,1085,-0.09347924312579334,1081_1085,0.114,0.25468085106382976,hamilton_01,base_shock,slow_regular,slow_regular,slow_regular-slow_regular,sal
76,1082,1085,0.18003691520731357,1082_1085,0.0,0.0,hamilton_01,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
77,1084,1085,-0.002329969474796347,1084_1085,1.922,1.922,hamilton_01,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
78,1069,1086,-0.08845491271059053,1069_1086,0.098,0.22866666666666668,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
79,1070,1086,-0.01719745025255351,1070_1086,1.474,1.7007692307692306,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
80,1071,1086,-0.1400938234466896,1071_1086,0.002,0.00875,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
81,1072,1086,-0.0043924435565326474,1072_1086,1.864,1.9001941747572817,hamilton_01,base_shock,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
